#{"t_start": 1675763379.8565452, "env_id": null}
r,l,t
-90.0,25,17.666759
-150.0,25,17.693687
-48.0,13,17.706652
-52.0,17,17.725601
-100.0,25,17.756519
-86.0,21,17.777462
26.0,9,17.787435
-22.0,17,17.803393
-34.0,19,17.823352
-23.0,18,17.843252
-29.0,14,17.856251
18.0,7,17.864249
-78.0,23,17.88717
-45.0,20,17.908113
-44.0,19,17.928065
21.0,14,17.944017
21.0,14,17.958978
-77.0,22,17.981915
-100.0,25,18.008844
-89.0,24,18.034774
31.0,4,18.039728
-66.0,21,18.061708
-74.0,19,18.082646
-120.0,25,18.108577
2.0,13,18.121542
-55.0,20,18.143483
-119.0,24,18.169415
8.0,7,18.178392
-79.0,24,18.202326
-150.0,25,18.228262
-109.0,24,18.254189
-53.0,18,18.275131
13.0,12,18.287066
-53.0,18,18.307045
12.0,13,18.320012
-45.0,20,18.340956
-119.0,24,18.367884
-110.0,25,18.39777
-88.0,23,18.422739
-10.0,15,18.438696
-20.0,15,18.455616
-86.0,21,18.477592
6.0,9,18.487581
-87.0,22,18.510503
-8.0,13,18.525464
-66.0,21,18.547404
-53.0,18,18.56735
19.0,6,18.573302
-7.0,12,18.585302
-76.0,21,18.607243
-29.0,14,18.623201
-22.0,17,18.643148
-21.0,16,18.659105
-59.0,14,18.675062
3.0,12,18.68703
1.0,14,18.70199
-53.0,18,18.719944
-78.0,23,18.745875
-54.0,19,18.766816
-66.0,21,18.78876
-120.0,25,18.815686
-35.0,20,18.836632
-24.0,19,18.857542
-55.0,20,18.879483
28.0,7,18.886464
-28.0,13,18.900427
-88.0,23,18.923366
-98.0,23,18.949297
15.0,10,18.960267
-107.0,22,18.984203
-34.0,19,19.006145
23.0,12,19.021104
-44.0,19,19.040054
7.0,8,19.051025
-129.0,24,19.07895
-76.0,21,19.102886
-35.0,20,19.125825
-120.0,25,19.154747
-110.0,25,19.182673
-64.0,19,19.205611
-89.0,24,19.233536
-60.0,25,19.262459
-129.0,24,19.287393
14.0,11,19.302353
18.0,7,19.309334
-66.0,21,19.33327
-79.0,24,19.361195
-138.0,23,19.389121
-95.0,20,19.412059
-44.0,19,19.432006
-7.0,12,19.446966
6.0,9,19.457937
-85.0,20,19.481873
-80.0,25,19.510795
-66.0,21,19.533734
-64.0,19,19.556673
29.0,6,19.562657
28.0,7,19.569638
-9.0,14,19.586593
-13.0,18,19.608534
14.0,11,19.620502
25.0,10,19.631473
-109.0,24,19.667375
-52.0,17,19.685361
-96.0,21,19.705308
-21.0,16,19.721266
-9.0,14,19.736225
-63.0,18,19.757169
-32.0,17,19.774122
-110.0,25,19.801052
-120.0,25,19.826983
3.0,12,19.841944
-22.0,17,19.858864
-32.0,17,19.875852
-31.0,16,19.894801
-10.0,15,19.910761
6.0,9,19.918736
-22.0,17,19.939681
-99.0,24,19.965612
3.0,12,19.977582
-20.0,15,19.99254
6.0,9,20.00351
-24.0,19,20.023463
-8.0,13,20.036423
-28.0,23,20.061356
-105.0,20,20.083297
-30.0,15,20.099267
-56.0,21,20.121197
-110.0,25,20.148089
-64.0,19,20.171064
14.0,11,20.182997
-13.0,18,20.202944
-32.0,17,20.219932
-51.0,16,20.235893
-30.0,15,20.251847
-90.0,25,20.278774
-32.0,17,20.297724
2.0,13,20.310689
-4.0,9,20.320664
-56.0,21,20.342604
18.0,7,20.35158
-54.0,19,20.369532
-4.0,19,20.390476
-55.0,20,20.41142
-90.0,25,20.438348
1.0,14,20.453307
-62.0,17,20.470238
-62.0,17,20.49021
-24.0,19,20.510156
-20.0,15,20.526118
-44.0,19,20.545063
-98.0,23,20.570959
-87.0,22,20.593924
2.0,13,20.608884
-32.0,17,20.62681
-87.0,22,20.651768
-11.0,16,20.668715
-22.0,17,20.686675
27.0,8,20.695653
-108.0,23,20.72258
-84.0,19,20.743533
-97.0,22,20.769462
-95.0,20,20.791405
29.0,6,20.797354
5.0,10,20.808359
-120.0,25,20.835253
-78.0,23,20.86022
-85.0,20,20.881167
-70.0,25,20.908091
